n,order,structure,insert,search,delete,height
100,random,BST,5.280005279928446e-05,3.899994771927595e-05,0.00012630003038793802,11
100,random,AVL,0.0004599000094458461,3.330002073198557e-05,0.0008435000199824572,7
100,random,MinHeap(insert),5.659996531903744e-05,,,
100,random,MinHeap(heapify+extract),3.93999507650733e-05,,0.00020640005823224783,
100,random,HashTable,0.0002367000561207533,6.029999349266291e-05,0.00031849998049438,
100,sorted,BST,0.00020620005670934916,0.00019350007642060518,0.00022990000434219837,99
100,sorted,AVL,0.0005077000241726637,3.300001844763756e-05,0.0008322999347001314,6
1000,random,BST,0.0008683999767526984,6.499991286545992e-05,0.0009215000318363309,19
1000,random,AVL,0.0069824999663978815,4.9699912779033184e-05,0.008995399926789105,11
1000,random,MinHeap(insert),0.0006481000455096364,,,
1000,random,MinHeap(heapify+extract),0.000615099910646677,,0.0010472000576555729,
1000,random,HashTable,0.002756199915893376,6.750004831701517e-05,0.0029667000053450465,
1000,sorted,BST,0.019850200042128563,0.0024287999840453267,0.03599300002679229,999
1000,sorted,AVL,0.007888499996624887,4.9400026910007e-05,0.008198900031857193,9
10000,random,BST,0.02629870001692325,0.00010079995263367891,0.020876399939879775,29
10000,random,AVL,0.12314569996669888,7.90000194683671e-05,0.1068320000777021,15
10000,random,MinHeap(insert),0.007917999988421798,,,
10000,random,MinHeap(heapify+extract),0.0056940000504255295,,0.006456300034187734,
10000,random,HashTable,0.03362690005451441,7.539999205619097e-05,0.032492400030605495,
10000,sorted,BST,2.5049079000018537,0.02939659997355193,3.5816465000389144,9999
10000,sorted,AVL,0.14201089995913208,7.11000757291913e-05,0.10488400002941489,13
